SN,Name,lon ,lat
1,Adhikarigaun,#VALUE!,#VALUE!
2,Adhikarigaun,#VALUE!,#VALUE!
3,Akashi,#VALUE!,#VALUE!
4,Alapot,#VALUE!,#VALUE!
5,Amaldol,#VALUE!,#VALUE!
6,Arubari,#VALUE!,#VALUE!
7,Aryalgaun,#VALUE!,#VALUE!
8,Ataling,#VALUE!,#VALUE!
9,Atarkhel,#VALUE!,#VALUE!
10,Bageshwari,85.4775729,27.6914888
11,Baibu,#VALUE!,#VALUE!
12,Bairikhel,85.4287984,27.6388355
13,Banachaur,85.4060702,27.6640993
14,Bangaun,#VALUE!,#VALUE!
15,Banjhaban,#VALUE!,#VALUE!
16,Banpedheri,#VALUE!,#VALUE!
17,Bansbari,#VALUE!,#VALUE!
18,Basnetgaun,#VALUE!,#VALUE!
19,Basnetgaun,#VALUE!,#VALUE!
20,Basnyatgaun,#VALUE!,#VALUE!
21,Batatol,85.4489864,27.702974
22,Besigaun,#VALUE!,#VALUE!
23,Besigaun,#VALUE!,#VALUE!
24,Bhadgaun,#VALUE!,#VALUE!
25,Bhadrabas,#VALUE!,#VALUE!
26,Bhaimal,#VALUE!,#VALUE!
27,Bhaingaun,#VALUE!,#VALUE!
28,Bhaisepati,#VALUE!,#VALUE!
29,Bhajubhairav,85.457787,27.7007643
30,Bhalutar,#VALUE!,#VALUE!
31,Bhandarigaun,#VALUE!,#VALUE!
32,Bhangalo,85.4809799,27.6500013
33,Bhatedhikuro,85.4450275,27.6631847
34,Bhatgaun,#VALUE!,#VALUE!
35,Bhatmase,#VALUE!,#VALUE!
36,Bhetasi,85.4828028,27.662711
37,Bhimsentar,#VALUE!,#VALUE!
39,Bhumitar,#VALUE!,#VALUE!
40,Bhusundol,85.4594089,27.698544
41,Bibicha,85.438944,27.6577072
42,Billigal,#VALUE!,#VALUE!
43,Bisambhar,#VALUE!,#VALUE!
44,Bodegaun,#VALUE!,#VALUE!
45,Bomthali,#VALUE!,#VALUE!
46,Bramhakhel,#VALUE!,#VALUE!
47,Budhathokigaun,#VALUE!,#VALUE!
48,Bungal,85.405857,27.6689158
49,Chakamakal,85.3776452,27.6471343
50,Chakhu,85.4297235,27.653968
51,Chalantar,#VALUE!,#VALUE!
52,Chamelidanda,#VALUE!,#VALUE!
53,Chamthali,85.4492998,27.6563242
54,Changunarayan,#VALUE!,#VALUE!
55,Chasidol,85.3850893,27.6458166
56,Chhakapakha,#VALUE!,#VALUE!
57,Chhap,#VALUE!,#VALUE!
58,Chhapdanda,#VALUE!,#VALUE!
59,Chitrapur,85.381356,27.6562637
60,Chundevi,85.4137044,27.6650737
61,Chundevi,85.4137044,27.6650737
62,Dadhikot,85.3935942,27.6492263
63,Dadukhel,#VALUE!,#VALUE!
64,Dagaun,#VALUE!,#VALUE!
65,Dahalgaun,#VALUE!,#VALUE!
66,Dakshindhoka,#VALUE!,#VALUE!
67,Damaigaun,#VALUE!,#VALUE!
68,Danadathok,#VALUE!,#VALUE!
69,Danchhi,85.4190037,27.7413448
70,Dandagaun,#VALUE!,#VALUE!
71,Dandagaun,#VALUE!,#VALUE!
72,Dandagaun,#VALUE!,#VALUE!
73,Dandagaun,#VALUE!,#VALUE!
74,Dandagaun,#VALUE!,#VALUE!
75,Deujagaun,#VALUE!,#VALUE!
76,Deuralibhanjyang,#VALUE!,#VALUE!
77,Devdol,85.381844,27.6654873
78,Dhansar,85.3737045,27.6531577
79,Dharachaur,85.3802234,27.6312589
80,Dhunchopakha,#VALUE!,#VALUE!
81,Dhyavaskagaun,#VALUE!,#VALUE!
82,Dihigaun,#VALUE!,#VALUE!
83,Dipdol,#VALUE!,#VALUE!
84,Dithadanda,#VALUE!,#VALUE!
85,Dobhane,85.4621185,27.7021872
86,Doreshwar,85.4351781,27.6414266
87,Dumakhal,#VALUE!,#VALUE!
88,Duwakot,85.4126782,27.6940986
89,Gaindagaun,#VALUE!,#VALUE!
90,Gairigaun,85.5365534,27.7258378
91,Gajarkot,#VALUE!,#VALUE!
92,Galmati,#VALUE!,#VALUE!
93,Gamcha,85.3898979,27.6556938
94,Gamcha,85.389898,27.6556938
95,Gamphedi,85.4125231,27.7127823
96,Gankhu,#VALUE!,#VALUE!
97,Gaunsuli,#VALUE!,#VALUE!
98,Ghorsahi,#VALUE!,#VALUE!
99,Ghumarichok,#VALUE!,#VALUE!
100,Ghumaune,85.4547431,27.6940178
101,Godar,#VALUE!,#VALUE!
102,Gokarna,85.39234034,27.73602695
103,Gokulgaun,#VALUE!,#VALUE!
104,Gothatar,85.3728572,27.692645
105,Gunchadol,85.424385,27.6541113
106,Gundigaun,#VALUE!,#VALUE!
107,Gundugaun,#VALUE!,#VALUE!
108,Halalgaun,#VALUE!,#VALUE!
109,Halchap,#VALUE!,#VALUE!
110,Hanumantar,85.4238487,27.6960401
111,Hinchok,85.3886032,27.6620715
112,Ikudol,85.3701212,27.6599661
113,Itagaun,#VALUE!,#VALUE!
114,Jagadol,#VALUE!,#VALUE!
115,Jagati,85.4365207,27.6665372
116,Jhaukhel,85.4304905,27.6909215
117,Jitpur,85.4754065,27.6862562
118,Jorpati,85.3932598,27.697186
119,Joshigaun,#VALUE!,#VALUE!
120,Jyathapakha,85.3787673,27.6348023
121,Kalighat,85.4273946,27.679499
122,Kalitar,85.3934053,27.6431364
123,Kalitar,85.3934054,27.6431364
124,Kamalbinayak,85.4372257,27.6775627
125,Kamerotar,85.3922497,27.6785876
126,Kamitar,#VALUE!,#VALUE!
127,Kankrabari,#VALUE!,#VALUE!
128,Kapahiti,#VALUE!,#VALUE!
129,Kaphlegaun,#VALUE!,#VALUE!
130,Karkigaun,#VALUE!,#VALUE!
131,Karkigaun,#VALUE!,#VALUE!
132,Karkigaun,#VALUE!,#VALUE!
133,Karkigaun,#VALUE!,#VALUE!
134,Karkigaun,#VALUE!,#VALUE!
135,Karkigaun,#VALUE!,#VALUE!
136,Katunje,85.4025999,27.665277
137,Khadkagaun,#VALUE!,#VALUE!
138,Khadkatol,85.3727156,27.653282
139,Khalphitar,85.3720348,27.6659116
140,Kharipati,85.4706888,27.7027371
141,Khatrigaun,#VALUE!,#VALUE!
142,Khatritol,85.4727066,27.6693026
143,Khorsanibari,#VALUE!,#VALUE!
144,Khulaltar,#VALUE!,#VALUE!
145,Kishigal,#VALUE!,#VALUE!
146,Kotali,85.4276078,27.702706
147,Kotthumka,#VALUE!,#VALUE!
148,Kulpakot,85.426574,27.7078573
149,Kurthali,#VALUE!,#VALUE!
150,Kuslamtar,85.4630854,27.6935215
151,Lakila,85.4350052,27.6964106
152,Lamagaun,#VALUE!,#VALUE!
153,Lamatar,85.3900179,27.6329653
154,Lapsephedi,#VALUE!,#VALUE!
155,Lapuli,85.4768391,27.6562966
156,Lohokil,#VALUE!,#VALUE!
157,Lubhu,85.3742115,27.6417221
158,Lukundol,85.4240835,27.692937
159,Magargaun,#VALUE!,#VALUE!
160,Magargaun,#VALUE!,#VALUE!
161,Magargaun,#VALUE!,#VALUE!
162,Mahantar,#VALUE!,#VALUE!
163,Mahatgaun,#VALUE!,#VALUE!
164,Majuwa,85.4910596,27.6962178
165,Makaltol,85.3984369,27.6564234
166,Maligaun,85.3345819,27.7137649
167,Mannatar,#VALUE!,#VALUE!
168,Manohara,85.3427203,27.6725565
169,Masandol,85.4483243,27.6690151
170,Mathillo Kankrabari,85.4483243,27.6690151
171,Milli,85.4353089,27.676304
172,Mulakot,85.4496272,27.7094936
173,Mulpani,85.3734042,27.6173061
174,Nagadesh,85.38572033,27.6851421
175,Nagarkot,85.4805392,27.7126129
176,Naichalu,#VALUE!,#VALUE!
177,Nalinchok,85.4613366,27.6530724
178,Nangkhel,#VALUE!,#VALUE!
179,Nayangaun,#VALUE!,#VALUE!
180,Nayanpati,#VALUE!,#VALUE!
181,Nekosera,85.4002032,27.6814303
182,Nepalgaun,#VALUE!,#VALUE!
183,Ngyabu,#VALUE!,#VALUE!
184,Nyoupanegaun,#VALUE!,#VALUE!
185,Padali,85.4854254,27.7001952
186,Pagaritol,85.4677535,27.6975752
187,Paitar,#VALUE!,#VALUE!
188,Pakaunepati,#VALUE!,#VALUE!
189,Palase,85.4638258,27.645751
190,Palubari,#VALUE!,#VALUE!
191,Pasikhel,#VALUE!,#VALUE!
192,Pataletar,85.3980413,27.6376876
193,Paudeldanda,#VALUE!,#VALUE!
194,Paudeldanda,#VALUE!,#VALUE!
195,Phaidhoka,85.4074119,27.688991
196,Phaidhoka,85.4613841,27.6710597
197,Phedigaun,#VALUE!,#VALUE!
198,Phuyalgaun,85.4901125,27.6863376
199,Phuyalgaun,85.4901125,27.6863376
200,Pikhel,85.4400204,27.7009713
201,Pikhel,85.4400204,27.7009713
202,Piple,85.4807909,27.6563679
203,Pularagaun,#VALUE!,#VALUE!
204,Pwargaun,#VALUE!,#VALUE!
205,Pyakadol,#VALUE!,#VALUE!
206,Raitar,#VALUE!,#VALUE!
207,Ratopati,85.4492104,27.6938776
208,Rautetol,85.4773453,27.6735878
209,Rautgaun,#VALUE!,#VALUE!
210,Rautgaun,#VALUE!,#VALUE!
211,Raygaun,#VALUE!,#VALUE!
212,Rokagaun,#VALUE!,#VALUE!
213,Ruksetar,#VALUE!,#VALUE!
214,Sakharkhande,#VALUE!,#VALUE!
215,Sakhintar,#VALUE!,#VALUE!
216,Salakhitar,#VALUE!,#VALUE!
217,Salambutar,#VALUE!,#VALUE!
218,Salampakha,85.3826044,27.660339
219,Sallaghari,85.4073497,27.673265
220,Sanchukcha,#VALUE!,#VALUE!
221,Sandol,#VALUE!,#VALUE!
222,Sanga,85.47774,27.64216
223,Sangdaha,85.4247971,27.71261
224,Sankhu,85.4636604,27.7298788
225,Sano Thimi,85.3710249,27.6828107
226,Sanogaun,#VALUE!,#VALUE!
227,Saraswatikhel,85.4031339,27.6963359
228,Sarswatitar,#VALUE!,#VALUE!
229,Sashambhu,#VALUE!,#VALUE!
230,Saudol,85.473051,27.6651362
231,Saudol,85.473051,27.6651362
232,Shankhedol,#VALUE!,#VALUE!
233,Shantigaun,#VALUE!,#VALUE!
234,Shikaritar,85.3972078,27.6531903
235,Silamgal,85.4209974,27.6359931
236,Singkhadagaun,#VALUE!,#VALUE!
237,Sirutar,85.3749294,27.6557568
238,Soche,85.4371644,27.6370873
239,Somathali,85.4036598,27.7022139
240,Sudal,85.4794072,27.6768296
241,Sumelgaun,#VALUE!,#VALUE!
242,Sumlingtar,#VALUE!,#VALUE!
243,Suryabinayak,85.4255764,27.6644387
244,Suryamandali,#VALUE!,#VALUE!
245,Taikapu,85.4712575,27.6724604
246,Talinchok,#VALUE!,#VALUE!
247,Tamanggaun,#VALUE!,#VALUE!
248,Tamanggaun,#VALUE!,#VALUE!
249,Tamanggaun,#VALUE!,#VALUE!
250,Tarkhakal,85.4022613,27.6437039
251,Tarkhakal,85.4022613,27.6437039
252,Tatgal,#VALUE!,#VALUE!
253,Taudol,85.4389966,27.6477516
254,Thakalmath,85.4907165,27.691244
255,Thali,85.4044485,27.7271011
256,Thapadanda,85.424971,27.73616865
257,Thapagaun,85.2775141,27.692798
258,Thapagaun,85.2775141,27.692798
259,Thapatol,85.3913167,27.6662873
260,Thasetar,85.4764281,27.652498
261,Thimi,85.3854014,27.6732392
262,Thimitar,85.3739699,27.6690999
263,Thuladhik,#VALUE!,#VALUE!
264,Thulaghar,85.3826412,27.6383135
265,Tigani,85.39162,27.6961352
266,Totha,#VALUE!,#VALUE!
267,Yangdol,85.4538921,27.6726392
,Bhulbu,#VALUE!,#VALUE!
